  	B:  1.681944E8
  	S:  2.06337456E8
  	早盘竞价交易:  1.2618246E7
  	尾盘竞价交易:  3921852.0
  	不明交易:  338246.0
  	总计:3.91410176E8

 	 价格：4.38  	 小计：7.2732224E7
 	 价格：4.4  	 小计：5.403552E7
 	 价格：4.39  	 小计：5.2020576E7
 	 价格：4.37  	 小计：4.4548592E7
 	 价格：4.45  	 小计：3.141164E7
 	 价格：4.41  	 小计：2.730006E7
 	 价格：4.44  	 小计：2.124762E7
 	 价格：4.43  	 小计：1.8343732E7
 	 价格：4.49  	 小计：1.6731535E7
 	 价格：4.42  	 小计：1.2677002E7
 	 价格：4.48  	 小计：1.2589696E7
 	 价格：4.46  	 小计：1.1447036E7
 	 价格：4.47  	 小计：8380356.0
 	 价格：4.36  	 小计：7944792.0

	 时间-9:57	 价格-4.4	 笔数-2750  	 交易帐户数（假想）-83	 被动买还是主动买-S	 小计-1210000.0
	 时间-9:58	 价格-4.39	 笔数-2755  	 交易帐户数（假想）-53	 被动买还是主动买-S	 小计-1209444.9
	 时间-9:40	 价格-4.45	 笔数-2710  	 交易帐户数（假想）-49	 被动买还是主动买-B	 小计-1205949.9
	 时间-14:13	 价格-4.39	 笔数-2721  	 交易帐户数（假想）-26	 被动买还是主动买-B	 小计-1194519.0
	 时间-9:30	 价格-4.49	 笔数-2656  	 交易帐户数（假想）-71	 被动买还是主动买-B	 小计-1192544.0
	 时间-11:15	 价格-4.4	 笔数-2679  	 交易帐户数（假想）-35	 被动买还是主动买-S	 小计-1178760.0
	 时间-10:34	 价格-4.4	 笔数-2624  	 交易帐户数（假想）-21	 被动买还是主动买-S	 小计-1154560.0
	 时间-9:31	 价格-4.45	 笔数-2551  	 交易帐户数（假想）-20	 被动买还是主动买-S	 小计-1135194.9
	 时间-9:34	 价格-4.46	 笔数-2535  	 交易帐户数（假想）-42	 被动买还是主动买-B	 小计-1130610.0
	 时间-13:34	 价格-4.38	 笔数-2576  	 交易帐户数（假想）-44	 被动买还是主动买-S	 小计-1128288.0
	 时间-14:16	 价格-4.38	 笔数-2540  	 交易帐户数（假想）-65	 被动买还是主动买-B	 小计-1112520.0
	 时间-9:31	 价格-4.47	 笔数-2483  	 交易帐户数（假想）-67	 被动买还是主动买-B	 小计-1109901.0
	 时间-10:49	 价格-4.42	 笔数-2510  	 交易帐户数（假想）-74	 被动买还是主动买-B	 小计-1109420.0
	 时间-14:56	 价格-4.37	 笔数-2536  	 交易帐户数（假想）-29	 被动买还是主动买-S	 小计-1108231.9
	 时间-14:48	 价格-4.37	 笔数-2515  	 交易帐户数（假想）-52	 被动买还是主动买-S	 小计-1099055.0
	 时间-14:26	 价格-4.36	 笔数-2500  	 交易帐户数（假想）-47	 被动买还是主动买-S	 小计-1090000.0
	 时间-9:30	 价格-4.48	 笔数-2401  	 交易帐户数（假想）-37	 被动买还是主动买-B	 小计-1075648.0
	 时间-13:00	 价格-4.4	 笔数-2402  	 交易帐户数（假想）-58	 被动买还是主动买-S	 小计-1056880.0
	 时间-13:00	 价格-4.4	 笔数-2340  	 交易帐户数（假想）-74	 被动买还是主动买-S	 小计-1029600.0
	 时间-9:35	 价格-4.43	 笔数-2301  	 交易帐户数（假想）-36	 被动买还是主动买-S	 小计-1019343.0
	 时间-14:49	 价格-4.36	 笔数-2324  	 交易帐户数（假想）-62	 被动买还是主动买-S	 小计-1013264.06
	 时间-9:55	 价格-4.42	 笔数-2261  	 交易帐户数（假想）-47	 被动买还是主动买-S	 小计-999362.0
	 时间-13:00	 价格-4.4	 笔数-2219  	 交易帐户数（假想）-49	 被动买还是主动买-S	 小计-976360.06
	 时间-9:58	 价格-4.4	 笔数-2217  	 交易帐户数（假想）-73	 被动买还是主动买-S	 小计-975480.0
	 时间-14:23	 价格-4.37	 笔数-2221  	 交易帐户数（假想）-35	 被动买还是主动买-B	 小计-970576.94
	 时间-9:35	 价格-4.45	 笔数-2152  	 交易帐户数（假想）-24	 被动买还是主动买-B	 小计-957639.94
	 时间-9:45	 价格-4.44	 笔数-2137  	 交易帐户数（假想）-51	 被动买还是主动买-S	 小计-948828.0
	 时间-13:36	 价格-4.38	 笔数-2151  	 交易帐户数（假想）-2	 被动买还是主动买-B	 小计-942138.0
	 时间-10:14	 价格-4.4	 笔数-2139  	 交易帐户数（假想）-31	 被动买还是主动买-S	 小计-941160.06
	 时间-9:38	 价格-4.45	 笔数-2091  	 交易帐户数（假想）-53	 被动买还是主动买-B	 小计-930494.94
	 时间-13:06	 价格-4.39	 笔数-2106  	 交易帐户数（假想）-39	 被动买还是主动买-S	 小计-924534.0
	 时间-9:30	 价格-4.48	 笔数-1987  	 交易帐户数（假想）-50	 被动买还是主动买-B	 小计-890176.0
	 时间-14:26	 价格-4.36	 笔数-2013  	 交易帐户数（假想）-40	 被动买还是主动买-S	 小计-877668.06
	 时间-13:33	 价格-4.38	 笔数-2001  	 交易帐户数（假想）-2	 被动买还是主动买-S	 小计-876438.0
	 时间-14:13	 价格-4.38	 笔数-1994  	 交易帐户数（假想）-84	 被动买还是主动买-S	 小计-873372.06
	 时间-13:28	 价格-4.38	 笔数-1984  	 交易帐户数（假想）-79	 被动买还是主动买-S	 小计-868992.0
	 时间-10:01	 价格-4.4	 笔数-1924  	 交易帐户数（假想）-40	 被动买还是主动买-B	 小计-846560.06
	 时间-14:37	 价格-4.37	 笔数-1925  	 交易帐户数（假想）-11	 被动买还是主动买-B	 小计-841225.0
	 时间-9:55	 价格-4.43	 笔数-1889  	 交易帐户数（假想）-41	 被动买还是主动买-B	 小计-836826.94
	 时间-9:43	 价格-4.44	 笔数-1856  	 交易帐户数（假想）-39	 被动买还是主动买-S	 小计-824063.94
	 时间-13:01	 价格-4.4	 笔数-1846  	 交易帐户数（假想）-68	 被动买还是主动买-S	 小计-812240.06
	 时间-13:57	 价格-4.37	 笔数-1852  	 交易帐户数（假想）-50	 被动买还是主动买-S	 小计-809324.0
	 时间-10:13	 价格-4.4	 笔数-1815  	 交易帐户数（假想）-43	 被动买还是主动买-B	 小计-798600.0
	 时间-9:59	 价格-4.4	 笔数-1760  	 交易帐户数（假想）-12	 被动买还是主动买-B	 小计-774400.0
	 时间-10:33	 价格-4.4	 笔数-1755  	 交易帐户数（假想）-61	 被动买还是主动买-B	 小计-772200.0
	 时间-13:02	 价格-4.39	 笔数-1752  	 交易帐户数（假想）-10	 被动买还是主动买-S	 小计-769128.0
	 时间-10:13	 价格-4.4	 笔数-1744  	 交易帐户数（假想）-54	 被动买还是主动买-B	 小计-767360.0
	 时间-9:34	 价格-4.47	 笔数-1701  	 交易帐户数（假想）-34	 被动买还是主动买-B	 小计-760347.0
	 时间-9:33	 价格-4.46	 笔数-1704  	 交易帐户数（假想）-55	 被动买还是主动买-B	 小计-759984.0
	 时间-9:43	 价格-4.45	 笔数-1654  	 交易帐户数（假想）-9	 被动买还是主动买-B	 小计-736030.0
	 时间-13:42	 价格-4.38	 笔数-1656  	 交易帐户数（假想）-32	 被动买还是主动买-B	 小计-725328.0
	 时间-13:19	 价格-4.38	 笔数-1619  	 交易帐户数（假想）-59	 被动买还是主动买-S	 小计-709122.0
	 时间-9:40	 价格-4.46	 笔数-1580  	 交易帐户数（假想）-19	 被动买还是主动买-B	 小计-704680.0
	 时间-9:31	 价格-4.46	 笔数-1577  	 交易帐户数（假想）-19	 被动买还是主动买-B	 小计-703342.0
