9:40 20.1 765 89 B
9:40 20.09 767 85 S
9:40 20.09 1500 75 S
9:40 20.1 1606 116 B
9:41 20.09 1817 145 S
9:41 20.12 2287 167 B
9:41 20.11 1128 109 S
9:41 20.1 718 63 S
9:41 20.09 1520 138 S
9:41 20.1 760 80 B
9:41 20.08 743 53 
9:41 20.08 1236 79 B
9:41 20.08 696 83 S
9:41 20.08 1205 61 S
9:41 20.1 1525 93 B
9:41 20.08 1135 74 S
9:41 20.08 720 79 B
9:41 20.1 779 42 B
9:41 20.08 876 82 S
9:41 20.1 411 60 B
9:41 20.08 603 61 S
9:41 20.09 1107 92 B
9:41 20.1 1624 79 B
9:41 20.08 455 52 S
9:42 20.08 775 54 S
9:42 20.07 495 61 S
9:42 20.08 1456 110 B
9:42 20.07 571 80 S
9:42 20.05 415 53 S
9:42 20.07 1147 81 B
9:42 20.04 463 52 S
9:42 20.05 906 86 B
9:42 20.05 1020 76 B
9:42 20.02 744 65 S
9:42 20.06 587 59 B
9:42 20.05 697 77 S
9:42 20.07 418 46 B
9:42 20.04 291 54 S
9:42 20.04 411 40 S
9:42 20.04 222 42 B
9:42 20.03 772 58 
9:42 20.07 1459 111 B
9:42 20.04 667 52 S
9:42 20.04 458 43 S
9:43 20.05 862 53 B
9:43 20.05 1029 49 S
9:43 20 4680 257 S
9:43 20.04 830 67 B
9:43 20.02 297 27 
9:43 20.02 834 60 B
9:43 20.01 323 60 S
9:43 20.02 279 50 B
9:43 20.01 299 46 
9:43 20 772 55 S
9:43 20 815 59 B
9:43 19.99 564 67 
9:43 20 1306 106 B
9:43 19.96 1735 142 S
9:43 19.97 108 22 B
9:43 20.01 768 70 B
9:43 20.01 304 26 S
9:43 20.01 2188 109 S
9:43 19.99 405 30 S
9:43 20 309 43 B
9:44 20 829 46 B
9:44 20 789 51 B
9:44 20 754 87 S
9:44 20.03 834 86 B
9:44 20.04 699 53 B
9:44 20.05 1066 100 B
9:44 20.06 273 38 B
9:44 20.06 269 33 B
9:44 20.06 397 41 S
9:44 20.06 1198 86 S
9:44 20.07 1741 148 B
9:44 20.08 363 35 B
9:44 20.09 4652 314 B
9:44 20.1 2370 211 B
9:44 20.15 1318 108 B
9:44 20.14 1372 85 
9:44 20.15 1544 149 B
9:44 20.15 1396 79 S
9:44 20.15 716 85 B
9:44 20.15 880 114 S
9:45 20.15 1604 113 B
9:45 20.13 2038 133 S
9:45 20.11 1117 69 S
9:45 20.11 460 78 S
9:45 20.1 1048 73 S
9:45 20.1 1628 122 B
9:45 20.07 744 115 S
9:45 20.07 434 56 S
9:45 20.07 478 50 B
9:45 20.04 666 49 S
9:45 20.04 358 36 B
9:45 20.05 1255 95 B
9:45 20.02 490 40 S
9:45 20.05 1354 85 B
9:45 20.02 696 78 S
9:45 20.03 457 55 B
9:45 20.02 386 79 S
9:45 20.02 658 78 S
9:45 20.03 597 74 S
9:45 20.06 788 111 B
9:46 20.01 1301 95 S
9:46 20.03 459 81 B
9:46 20.02 482 65 S
9:46 20.02 383 60 S
9:46 20.03 569 86 B
9:46 20.03 946 79 S
9:46 20.02 520 50 S
9:46 20.03 1120 59 B
9:46 20.01 618 75 S
9:46 20.03 347 61 B
9:46 20.02 2149 142 S
9:46 20.01 317 34 B
9:46 20 706 63 S
9:46 20.01 607 59 B
9:46 20.01 1729 110 S
9:46 20 1236 76 S
9:46 20 407 67 S
9:46 20 759 107 S
9:46 20 528 97 S
9:46 20 768 75 S
9:47 20 1960 141 B
9:47 19.97 1368 64 S
9:47 19.96 749 49 S
9:47 19.95 57 5 S
9:47 19.94 224 44 S
9:47 19.95 99 27 B
9:47 19.94 667 68 S
9:47 19.94 1856 122 B
9:47 19.94 269 31 B
9:47 19.91 647 55 S
9:47 19.92 244 31 
9:47 19.9 471 56 S
9:47 19.91 194 42 B
9:47 19.91 1239 48 B
9:47 19.9 1192 141 S
9:47 19.91 2699 130 B
9:47 19.89 1671 55 S
9:47 19.91 707 58 B
9:47 19.9 480 60 S
9:47 19.9 1056 52 S
9:48 19.89 909 64 S
9:48 19.89 1344 89 S
9:48 19.9 1044 90 B
9:48 19.9 610 70 S
9:48 19.91 402 40 B
9:48 19.94 617 42 B
9:48 19.93 1046 80 
9:48 19.95 371 36 B
9:48 19.97 1231 31 B
9:48 19.97 243 30 S
9:48 19.98 1114 36 S
9:48 20 1416 97 B
9:48 20.01 494 73 B
9:48 20 407 30 S
9:48 20.02 453 56 B
9:48 20.02 649 60 B
9:48 20.03 709 90 B
9:48 20.02 232 46 B
9:48 20.04 1562 44 B
9:48 20.04 487 39 B
9:49 20.02 441 49 S
9:49 20.04 959 47 B
9:49 20.03 772 39 
9:49 20.04 1391 94 B
9:49 20.03 320 45 S
9:49 20.04 643 40 B
9:49 20.03 1508 65 S
9:49 20.02 1008 68 S
9:49 20.02 623 37 S
9:49 20.03 1074 59 B
9:49 20 993 65 S
9:49 20 817 54 S
9:49 20 654 48 B
9:49 20.02 1469 56 B
9:49 20 247 25 S
9:49 20.01 198 19 B
9:50 20.02 8442 631 B
9:50 20.03 383 35 B
9:50 20.01 1005 64 S
9:50 20.02 379 34 B
9:50 20.03 969 72 B
9:50 20.04 531 34 B
9:50 20.05 1016 68 B
9:50 20.06 1780 123 B
9:50 20.05 1613 86 S
9:50 20.09 1754 115 B
9:50 20.09 1689 79 S
9:50 20.09 318 47 S
9:50 20.1 1334 137 B
9:50 20.1 428 49 B
9:50 20.11 397 40 B
9:51 20.12 1168 53 B
9:51 20.12 293 51 B
9:51 20.11 576 59 S
9:51 20.11 924 55 S
9:51 20.13 1306 129 B
9:51 20.11 617 43 S
9:51 20.11 583 36 S
9:51 20.1 1700 90 S
9:51 20.1 2463 140 S
9:51 20.11 1331 83 B
9:51 20.1 385 49 B
9:51 20.08 486 32 S
9:51 20.08 730 47 B
9:51 20.05 448 34 S
9:51 20.07 177 36 B
9:51 20.06 203 25 S
9:51 20.05 124 16 S
9:51 20.06 759 39 B
9:51 20.04 361 41 S
9:51 20.04 262 41 S
9:52 20.03 766 76 S
9:52 20.03 385 25 S
9:52 20.03 297 31 B
9:52 20.03 302 40 B
9:52 20.02 417 47 S
9:52 20.03 268 15 B
9:52 20.01 145 35 S
9:52 20.01 147 21 S
9:52 20.01 1623 122 S
9:52 20 360 64 S
9:52 19.99 496 43 S
9:52 20 115 17 B
9:52 19.99 305 28 S
9:52 20 455 42 B
9:52 20.01 453 51 B
9:52 19.99 394 30 S
9:52 19.99 246 24 B
9:52 19.99 371 61 B
9:52 20 231 28 B
9:52 20 608 21 B
9:53 20 1372 72 B
9:53 20.01 718 81 B
9:53 20 1031 28 S
9:53 20.01 1380 82 B
9:53 20 557 61 S
9:53 20 584 41 S
9:53 20.01 1667 61 B
9:53 20.01 745 58 B
9:53 20 362 47 S
9:53 20 507 48 B
9:53 20 824 56 B
9:53 19.99 622 62 S
9:53 20 239 36 B
9:53 19.99 479 35 S
9:53 19.98 1261 104 S
9:53 19.99 430 39 B
9:53 19.98 262 25 S
9:53 19.97 224 43 S
9:53 19.99 301 25 B
9:53 19.98 221 27 S
9:54 19.98 455 44 B
9:54 19.97 488 30 S
9:54 19.97 269 31 B
9:54 19.97 559 44 B
9:54 19.96 247 26 
9:54 19.96 164 26 B
9:54 19.95 1081 73 S
9:54 19.95 1086 69 S
9:54 19.93 129 16 S
9:54 19.94 67 11 B
9:54 19.95 192 21 B
9:54 19.93 324 27 S
9:54 19.93 63 14 S
9:54 19.95 328 52 B
9:54 19.96 1068 59 B
9:54 19.94 491 56 S
9:54 19.93 285 21 S
9:54 19.96 1627 83 B
9:54 19.97 1406 130 S
9:54 19.99 1773 55 B
9:55 20 593 33 B
9:55 20 75 23 B
9:55 20 85 17 S
9:55 20 145 21 B
9:55 20.01 209 36 B
9:55 20 119 12 S
9:55 20.01 334 30 B
9:55 20.01 1362 54 B
9:55 20.01 649 43 S
9:55 20 2157 65 S
9:55 20.01 312 30 B
9:55 20 339 43 B
9:55 20 158 21 B
9:55 20 209 15 S
9:55 20 628 37 S
9:55 20 716 26 B
9:55 20 534 28 B
9:55 19.99 399 17 S
9:55 20 775 49 B
9:55 19.99 122 22 S
9:56 20 2942 114 B
9:56 20 414 23 S
9:56 20 366 26 S
9:56 20 260 33 S
9:56 19.99 843 50 S
9:56 20 1117 54 B
9:56 20 155 24 S
9:56 20.01 1463 59 B
