	 时间-14:52	 价格-14.41	 笔数-833  	 交易帐户数（假想）-69	 被动买还是主动买-B	 小计-1200353.0
	 时间-9:30	 价格-14.31	 笔数-829  	 交易帐户数（假想）-98	 被动买还是主动买-S	 小计-1186299.0
	 时间-9:33	 价格-14.22	 笔数-821  	 交易帐户数（假想）-59	 被动买还是主动买-S	 小计-1167462.0
	 时间-9:30	 价格-14.34	 笔数-794  	 交易帐户数（假想）-67	 被动买还是主动买-B	 小计-1138596.0
	 时间-9:34	 价格-14.18	 笔数-800  	 交易帐户数（假想）-73	 被动买还是主动买-B	 小计-1134400.0
	 时间-9:37	 价格-14.21	 笔数-750  	 交易帐户数（假想）-69	 被动买还是主动买-B	 小计-1065750.0
	 时间-9:36	 价格-14.22	 笔数-726  	 交易帐户数（假想）-74	 被动买还是主动买-B	 小计-1032372.0
	 时间-9:34	 价格-14.15	 笔数-713  	 交易帐户数（假想）-102	 被动买还是主动买-B	 小计-1008895.0
	 时间-10:10	 价格-14.2	 笔数-710  	 交易帐户数（假想）-76	 被动买还是主动买-S	 小计-1008200.0
	 时间-13:00	 价格-14.36	 笔数-692  	 交易帐户数（假想）-92	 被动买还是主动买-B	 小计-993712.0
	 时间-9:42	 价格-14.21	 笔数-690  	 交易帐户数（假想）-61	 被动买还是主动买-B	 小计-980490.06
	 时间-9:59	 价格-14.16	 笔数-685  	 交易帐户数（假想）-46	 被动买还是主动买-S	 小计-969959.94
	 时间-9:51	 价格-14.27	 笔数-677  	 交易帐户数（假想）-59	 被动买还是主动买-B	 小计-966079.0
	 时间-9:31	 价格-14.22	 笔数-673  	 交易帐户数（假想）-91	 被动买还是主动买-B	 小计-957006.06
	 时间-9:33	 价格-14.36	 笔数-664  	 交易帐户数（假想）-79	 被动买还是主动买-S	 小计-953504.0
	 时间-14:53	 价格-14.39	 笔数-661  	 交易帐户数（假想）-65	 被动买还是主动买-S	 小计-951179.0
	 时间-9:33	 价格-14.3	 笔数-663  	 交易帐户数（假想）-74	 被动买还是主动买-S	 小计-948090.06
	 时间-9:30	 价格-14.37	 笔数-659  	 交易帐户数（假想）-54	 被动买还是主动买-B	 小计-946983.0
	 时间-14:54	 价格-14.39	 笔数-648  	 交易帐户数（假想）-48	 被动买还是主动买-B	 小计-932472.06
	 时间-9:34	 价格-14.16	 笔数-651  	 交易帐户数（假想）-58	 被动买还是主动买-B	 小计-921816.0
	 时间-9:36	 价格-14.22	 笔数-639  	 交易帐户数（假想）-37	 被动买还是主动买-B	 小计-908658.0
	 时间-9:30	 价格-14.35	 笔数-632  	 交易帐户数（假想）-64	 被动买还是主动买-S	 小计-906920.0
	 时间-9:34	 价格-14.15	 笔数-634  	 交易帐户数（假想）-93	 被动买还是主动买-B	 小计-897109.94
	 时间-9:30	 价格-14.37	 笔数-617  	 交易帐户数（假想）-68	 被动买还是主动买-S	 小计-886629.0
	 时间-10:18	 价格-14.29	 笔数-619  	 交易帐户数（假想）-56	 被动买还是主动买-S	 小计-884551.0
	 时间-9:33	 价格-14.19	 笔数-616  	 交易帐户数（假想）-89	 被动买还是主动买-S	 小计-874104.0
	 时间-13:36	 价格-14.52	 笔数-587  	 交易帐户数（假想）-34	 被动买还是主动买-S	 小计-852324.0
	 时间-9:30	 价格-14.28	 笔数-596  	 交易帐户数（假想）-80	 被动买还是主动买-S	 小计-851088.0
	 时间-9:33	 价格-14.21	 笔数-590  	 交易帐户数（假想）-42	 被动买还是主动买-S	 小计-838390.06
	 时间-9:34	 价格-14.13	 笔数-582  	 交易帐户数（假想）-60	 被动买还是主动买-S	 小计-822366.0
	 时间-14:52	 价格-14.4	 笔数-549  	 交易帐户数（假想）-32	 被动买还是主动买-S	 小计-790559.94
	 时间-9:44	 价格-14.17	 笔数-557  	 交易帐户数（假想）-85	 被动买还是主动买-S	 小计-789269.0
	 时间-9:34	 价格-14.14	 笔数-555  	 交易帐户数（假想）-59	 被动买还是主动买-S	 小计-784770.0
	 时间-9:31	 价格-14.23	 笔数-547  	 交易帐户数（假想）-62	 被动买还是主动买-S	 小计-778380.94
	 时间-9:36	 价格-14.24	 笔数-545  	 交易帐户数（假想）-56	 被动买还是主动买-B	 小计-776080.0
